Timestamp,ESC_0_RPM,ESC_1_RPM,ESC_2_RPM,ESC_3_RPM,ESC_4_RPM,ESC_5_RPM,ESC_6_RPM,ESC_7_RPM
35868000,150,152,150,152,0,0,0,0
35876000,150,152,150,152,0,0,0,0
39032000,518,548,509,557,0,0,0,0
39036000,518,548,509,557,0,0,0,0
39288000,553,585,541,598,0,0,0,0
39532000,586,624,571,640,0,0,0,0
39788000,627,665,605,687,0,0,0,0
40036000,698,732,667,763,0,0,0,0
40284000,760,758,731,799,0,0,0,0
40532000,799,802,797,783,0,0,0,0
40788000,804,804,798,801,0,0,0,0
41036000,800,800,797,800,0,0,0,0
41288000,803,804,802,803,0,0,0,0
41536000,775,775,774,776,0,0,0,0
41788000,777,777,776,777,0,0,0,0
42036000,776,775,775,776,0,0,0,0
42288000,780,780,781,780,0,0,0,0
42536000,777,778,778,778,0,0,0,0
42788000,774,774,774,774,0,0,0,0
43036000,772,771,771,771,0,0,0,0
43284000,777,776,777,776,0,0,0,0
43532000,774,774,774,774,0,0,0,0
43788000,770,770,772,772,0,0,0,0
44036000,767,767,771,770,0,0,0,0
44288000,774,775,775,775,0,0,0,0
44532000,772,774,771,771,0,0,0,0
44788000,771,771,766,766,0,0,0,0
45036000,766,766,764,763,0,0,0,0
45284000,774,774,774,775,0,0,0,0
45532000,770,769,773,773,0,0,0,0
45788000,769,767,770,770,0,0,0,0
46036000,765,766,765,765,0,0,0,0
46288000,776,775,773,772,0,0,0,0
46532000,772,771,769,769,0,0,0,0
46788000,767,768,768,768,0,0,0,0
47036000,764,765,765,766,0,0,0,0
47288000,772,772,774,774,0,0,0,0
47536000,770,770,771,770,0,0,0,0
47788000,768,768,768,768,0,0,0,0
48036000,764,764,764,764,0,0,0,0
48288000,773,773,773,773,0,0,0,0
48532000,771,771,771,771,0,0,0,0
48788000,768,768,767,767,0,0,0,0
49036000,804,805,803,803,0,0,0,0
49284000,852,853,853,853,0,0,0,0
49536000,847,847,848,848,0,0,0,0
49788000,784,783,785,785,0,0,0,0
50036000,750,750,750,750,0,0,0,0
50288000,769,769,767,767,0,0,0,0
50536000,774,774,773,773,0,0,0,0
50788000,776,776,776,777,0,0,0,0
51036000,766,766,769,769,0,0,0,0
51288000,771,770,772,773,0,0,0,0
51532000,771,771,771,770,0,0,0,0
51788000,771,770,770,769,0,0,0,0
52032000,771,770,769,769,0,0,0,0
52288000,771,771,769,769,0,0,0,0
52536000,770,769,770,769,0,0,0,0
52788000,769,768,770,770,0,0,0,0
53036000,769,769,770,771,0,0,0,0
53288000,769,769,770,771,0,0,0,0
53532000,770,771,769,770,0,0,0,0
53788000,772,771,768,769,0,0,0,0
54036000,771,770,770,770,0,0,0,0
54284000,769,769,771,771,0,0,0,0
54532000,769,769,771,771,0,0,0,0
